president,presidential order,party
George Washington,1,No Party
John Quincy Adams,6,Democratic-Republican
Andrew Jackson,7,Democratic
Martin van Buren,8,Democratic
John Tyler,10,Whig
James K. Polk,11,Democratic
Zachary Taylor,12,Whig
Millard Fillmore,13,Whig
Franklin Pierce,14,Democratic
James Buchanan,15,Democratic
Abraham Lincoln,16,Republican
Andrew Johnson,17,Democratic
Ulysses S. Grant,18,Republican
Rutherford B. Hayes,19,Republican
James A. Garfield,20,Republican
Chester A. Arthur,21,Republican
Grover Cleveland,22,Democratic
Benjamin Harrison,23,Republican
William McKinley,25,Republican
Theodore Roosevelt,26,Republican
William Howard Taft,27,Republican
Woodrow Wilson,28,Democratic
Warren G. Harding,29,Republican
Calvin Coolidge,30,Republican
Herbert Hoover,31,Republican
Franklin D. Roosevelt,32,Democratic
Harry S Truman,33,Democratic
Dwight D. Eisenhower,34,Republican
John F. Kennedy,35,Democratic
Lyndon B. Johnson,36,Democratic
Richard Nixon,37,Republican
Gerald R. Ford,38,Republican
Jimmy Carter,39,Democratic
Ronald Reagan,40,Republican
George Bush,41,Republican
William J. Clinton,42,Democratic
George W. Bush,43,Republican
Barack Obama,44,Democratic
Donald J. Trump (1st Term),45,Republican
"Joseph R. Biden, Jr.",46,Democratic
Donald J. Trump (2nd Term),47,Republican
